# Source data for Extended Data Figure 1,
,
# Extended Data Figure 1a: GALA-V delay resolution function,
# Freq Array: 6000 8500 10400 13300,
# Effective BW = 2685.12,
# GCM of Frq. Intvl= 100 [MHz],
# Ambguity = 10 [nsec],
# Columns are delay in nanoseconds and amplitude,
,
-14.9963,0.000653968
-14.9902,0.00172185
-14.9841,0.00273725
-14.978,0.00367274
-14.9719,0.00450288
-14.9658,0.00520482
-14.9597,0.00575876
-14.9536,0.00614848
-14.9475,0.00636161
-14.9414,0.00638997
-14.9353,0.00622976
-14.9292,0.00588167
-14.9231,0.00535101
-14.917,0.00464789
-14.9109,0.003788
-14.9048,0.00279569
-14.8987,0.00172149
-14.8926,0.000825327
-14.8865,0.00130617
-14.8804,0.00256008
-14.8743,0.00393288
-14.8682,0.00532792
-14.8621,0.0067041
-14.856,0.00803057
-14.8499,0.0092805
-14.8438,0.0104301
-14.8376,0.0114583
-14.8315,0.0123473
-14.8254,0.0130828
-14.8193,0.0136537
-14.8132,0.0140531
-14.8071,0.0142776
-14.801,0.0143277
-14.7949,0.0142077
-14.7888,0.0139254
-14.7827,0.0134918
-14.7766,0.012921
-14.7705,0.0122294
-14.7644,0.0114358
-14.7583,0.0105606
-14.7522,0.00962515
-14.7461,0.00865173
-14.74,0.00766274
-14.7339,0.00668048
-14.7278,0.00572679
-14.7217,0.00482295
-14.7156,0.0039898
-14.7095,0.00324803
-14.7034,0.00261861
-14.6973,0.00212203
-14.6912,0.00177311
-14.6851,0.00156871
-14.679,0.00147689
-14.6729,0.00144648
-14.6667,0.00143052
-14.6606,0.00139913
-14.6545,0.00133885
-14.6484,0.0012479
-14.6423,0.00113219
-14.6362,0.00100286
-14.6301,0.000874671
-14.624,0.000764249
-14.6179,0.000686073
-14.6118,0.000645331
-14.6057,0.000632714
-14.5996,0.000628643
-14.5935,0.000612722
-14.5874,0.000569398
-14.5813,0.000488896
-14.5752,0.000366408
-14.5691,0.000201153
-14.563,4.34E-06
-14.5569,0.000244784
-14.5508,0.000512532
-14.5447,0.000798028
-14.5386,0.00109019
-14.5325,0.00137685
-14.5264,0.00164516
-14.5203,0.00188207
-14.5142,0.00207474
-14.5081,0.00221105
-14.502,0.00227996
-14.4958,0.00227196
-14.4897,0.00217944
-14.4836,0.00199707
-14.4775,0.00172218
-14.4714,0.00135548
-14.4653,0.0009037
-14.4592,0.000404576
-14.4531,0.000403369
-14.447,0.00104684
-14.4409,0.00179246
-14.4348,0.00258858
-14.4287,0.00341407
-14.4226,0.00425005
-14.4165,0.00507761
-14.4104,0.00587777
-14.4043,0.00663178
-14.3982,0.00732163
-14.3921,0.00793058
-14.386,0.00844365
-14.3799,0.00884817
-14.3738,0.0091343
-14.3677,0.00929546
-14.3616,0.00932889
-14.3555,0.00923609
-14.3494,0.00902334
-14.3433,0.00870233
-14.3372,0.00829083
-14.3311,0.00781363
-14.325,0.00730352
-14.3188,0.00680204
-14.3127,0.00635888
-14.3066,0.00602759
-14.3005,0.00585525
-14.2944,0.0058675
-14.2883,0.00605762
-14.2822,0.00638916
-14.2761,0.00680987
-14.27,0.00726613
-14.2639,0.0077114
-14.2578,0.00810936
-14.2517,0.00843422
-14.2456,0.00867047
-14.2395,0.00881264
-14.2334,0.00886546
-14.2273,0.00884431
-14.2212,0.00877567
-14.2151,0.00869696
-14.209,0.0086547
-14.2029,0.00869971
-14.1968,0.00887868
-14.1907,0.00922394
-14.1846,0.00974562
-14.1785,0.0104303
-14.1724,0.0112459
-14.1663,0.0121497
-14.1602,0.0130949
-14.1541,0.0140355
-14.1479,0.0149285
-14.1418,0.0157354
-14.1357,0.0164223
-14.1296,0.0169608
-14.1235,0.0173275
-14.1174,0.0175047
-14.1113,0.0174801
-14.1052,0.0172471
-14.0991,0.0168051
-14.093,0.016159
-14.0869,0.0153198
-14.0808,0.0143047
-14.0747,0.0131371
-14.0686,0.0118479
-14.0625,0.0104769
-14.0564,0.00907651
-14.0503,0.00771853
-14.0442,0.00650607
-14.0381,0.00558549
-14.032,0.00512592
-14.0259,0.0052152
-14.0198,0.00576117
-14.0137,0.00656789
-14.0076,0.00746193
-14.0015,0.00832707
-13.9954,0.00909038
-13.9893,0.00970581
-13.9832,0.0101442
-13.9771,0.0103882
