pl_name,hostname,default_flag,soltype,disc_year,discoverymethod,pl_orbper,pl_orbsmax,pl_orbeccen,pl_eqt,pl_insol,pl_rade,pl_radeerr1,pl_radeerr2,pl_radj,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmassj,pl_bmassprov,pl_dens,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_rad,st_mass,st_met,st_meterr1,st_meterr2,st_age,st_logg,sy_dist,pl_refname,st_refname,disc_refname
"K2-243 b","K2-243",1,"Published Confirmed",2018,"Transit",11.54182000000,0.1087000000,,1035.00,,2.17000000,0.14000000,-0.12000000,0.19359443,,,,,,,,6570.00,269.00,-171.00,1.390000,1.290000,-0.0300,0.1800,-0.1900,,4.260000,266.86400000,"<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>","<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>","<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>"
"K2-243 c","K2-243",1,"Published Confirmed",2018,"Transit",24.94598000000,0.1817000000,,801.00,,2.01000000,0.15000000,-0.13000000,0.17932019,,,,,,,,6570.00,269.00,-171.00,1.390000,1.290000,-0.0300,0.1800,-0.1900,,4.260000,266.86400000,"<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>","<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>","<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>"
"K2-245 b","K2-245",1,"Published Confirmed",2018,"Transit",11.89307000000,0.0959000000,,923.00,,4.34000000,0.19000000,-0.14000000,0.38718887,,,,,,,,5793.00,66.00,-52.00,1.250000,0.830000,-0.4500,0.0200,-0.0200,,4.160000,456.06400000,"<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>","<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>","<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>"
"K2-246 b","K2-246",1,"Published Confirmed",2018,"Transit",5.76918000000,0.0602000000,,977.00,,3.49000000,0.25000000,-0.21000000,0.31135695,,,,,,,,5610.00,32.00,-29.00,0.940000,0.870000,-0.1900,0.0300,-0.0300,,4.430000,703.61600000,"<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>","<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>","<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>"
"K2-247 b","K2-247",1,"Published Confirmed",2018,"Transit",2.25021000000,0.0304000000,,979.00,,2.12000000,0.19000000,-0.16000000,0.18913373,,,,,,,,4667.00,305.00,-183.00,0.690000,0.740000,-0.0800,0.2200,-0.2200,,4.630000,258.11300000,"<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>","<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>","<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>"
"K2-247 c","K2-247",1,"Published Confirmed",2018,"Transit",6.49424000000,0.0615000000,,688.00,,2.19000000,0.25000000,-0.23000000,0.19537871,,,,,,,,4667.00,305.00,-183.00,0.690000,0.740000,-0.0800,0.2200,-0.2200,,4.630000,258.11300000,"<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>","<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>","<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>"
"K2-248 b","K2-248",1,"Published Confirmed",2018,"Transit",7.17256000000,0.0699000000,,886.00,,2.57000000,0.20000000,-0.14000000,0.22928004,,,,,,,,5528.00,97.00,-86.00,0.920000,0.880000,-0.1000,0.0400,-0.0400,,4.450000,406.25400000,"<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>","<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>","<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>"
"K2-249 b","K2-249",1,"Published Confirmed",2018,"Transit",12.40900000000,0.1151000000,,1061.00,,2.79000000,0.27000000,-0.22000000,0.24890713,,,,,,,,6504.00,329.00,-419.00,1.570000,1.320000,0.0400,0.1400,-0.1600,,4.160000,521.71600000,"<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>","<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>","<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>"
"K2-250 b","K2-250",1,"Published Confirmed",2018,"Transit",4.01392000000,0.0460600000,0.210000,1003.00,,2.71257333,0.17934369,-0.13450777,0.24200000,,,,,,,,5003.00,94.00,-94.00,0.797000,0.809000,-0.0200,0.2400,-0.0980,8.2000,4.544000,414.70800000,"<a refstr=THYGESEN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165..155T/abstract target=ref>Thygesen et al. 2023</a>","<a refstr=THYGESEN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165..155T/abstract target=ref>Thygesen et al. 2023</a>","<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>"
"K2-251 b","K2-251",1,"Published Confirmed",2018,"Transit",9.30075000000,0.0694000000,,437.00,,2.35000000,0.26000000,-0.21000000,0.20965296,,,,,,,,3717.00,85.00,-50.00,0.490000,0.520000,-0.0400,0.1800,-0.1900,,4.760000,147.03000000,"<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>","<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>","<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>"
